Ali,Kılıç,19,Turkiye,3,10,18,1,1,649961.5744531655,9106.839886164833,GK,
Ali,Kaya,19,Turkiye,2,17,18,15,2,15,7,11,12,13,5,13,19,4,5,4,6,1,649961.5744531655,9106.839886164833,CB,
Ali,Kılıç,23,Turkiye,11,15,11,6,11,4,8,2,8,18,19,12,2,18,1,17,16,1,649961.5744531655,9106.839886164833,LB,
Ali,Güneş,18,Turkiye,10,13,12,4,19,17,2,7,18,11,19,12,3,7,11,9,1,1,649961.5744531655,9106.839886164833,RB,
Ali,Kaya,23,Turkiye,10,7,5,12,3,9,10,11,7,12,1,14,1,2,14,13,1,1,649961.5744531655,9106.839886164833,CM,
Ali,Özkan,24,Turkiye,1,5,14,18,0,1,7,13,16,5,10,18,15,16,7,11,9,1,649961.5744531655,9106.839886164833,CB,
Ali,Kılıç,19,Turkiye,17,19,1,7,14,17,10,14,0,12,12,6,16,6,1,13,18,1,649961.5744531655,9106.839886164833,CM,
Ali,Korkmaz,25,Turkiye,7,15,2,16,15,14,7,6,7,14,1,5,8,5,1,0,4,1,649961.5744531655,9106.839886164833,LW,
Ali,Özdemir,21,Turkiye,10,17,15,6,11,0,12,5,10,14,14,13,4,10,4,9,4,1,649961.5744531655,9106.839886164833,RW,
Ali,Bilgin,22,Turkiye,14,4,7,17,13,12,7,17,19,8,13,17,11,1,5,4,7,1,649961.5744531655,9106.839886164833,ST,
Ali,Eren,25,Turkiye,1,13,9,6,6,5,12,12,19,12,9,8,15,12,9,7,2,1,649961.5744531655,9106.839886164833,ST,
Ahmet,Kılıç,25,Turkiye,11,9,8,18,2,649961.5744531655,9106.839886164833,GK,
Ahmet,Korkmaz,21,Turkiye,3,5,6,11,16,13,3,19,14,2,0,4,11,11,13,15,9,2,649961.5744531655,9106.839886164833,CB,
Ahmet,Ergin,23,Turkiye,8,10,4,6,4,1,0,14,9,1,10,19,10,1,15,19,18,2,649961.5744531655,9106.839886164833,CB,
Ahmet,Güneş,21,Turkiye,3,4,1,16,19,3,19,19,0,4,14,8,0,5,2,1,19,2,649961.5744531655,9106.839886164833,LB,
Ahmet,Özdemir,19,Turkiye,11,4,4,14,2,2,17,12,1,11,8,0,14,3,12,18,9,2,649961.5744531655,9106.839886164833,RB,
Ahmet,Korkmaz,19,Turkiye,15,14,8,19,19,14,9,11,8,1,0,2,11,13,17,6,10,2,649961.5744531655,9106.839886164833,CM,
Ahmet,Özkan,21,Turkiye,6,5,16,7,1,6,4,2,12,10,0,10,16,15,4,9,2,2,649961.5744531655,9106.839886164833,CM,
Ahmet,Özdemir,23,Turkiye,14,6,0,12,6,13,13,17,18,0,15,17,12,3,19,12,15,2,649961.5744531655,9106.839886164833,LW,
Ahmet,Ergin,19,Turkiye,7,15,8,4,16,11,9,1,14,19,8,4,16,10,15,0,4,2,649961.5744531655,9106.839886164833,RW,
Ahmet,Bilgin,19,Turkiye,1,10,6,2,1,18,18,10,12,11,1,7,10,16,3,17,1,2,649961.5744531655,9106.839886164833,ST,
Ahmet,Kaya,18,Turkiye,0,9,18,14,14,5,19,1,9,2,12,2,16,0,11,16,9,2,649961.5744531655,9106.839886164833,ST,
Baris,Korkmaz,24,Turkiye,4,9,4,10,3,649961.5744531655,9106.839886164833,GK,
Baris,Kılıç,21,Turkiye,11,16,0,6,16,10,19,12,2,3,10,1,13,7,10,5,0,3,649961.5744531655,9106.839886164833,CB,
Baris,Kaya,22,Turkiye,9,17,16,0,3,9,11,8,6,3,5,9,11,3,0,4,18,3,649961.5744531655,9106.839886164833,CB,
Baris,Özdemir,23,Turkiye,16,5,9,0,9,19,17,11,18,18,18,4,18,8,8,17,7,3,649961.5744531655,9106.839886164833,RB,
Baris,Özkan,24,Turkiye,14,2,7,1,5,12,5,15,0,16,2,11,5,15,17,0,15,3,649961.5744531655,9106.839886164833,LB,
Baris,Eren,23,Turkiye,0,17,1,11,3,8,3,17,4,5,2,3,11,16,14,14,13,3,649961.5744531655,9106.839886164833,CM,
Baris,Özdemir,19,Turkiye,14,1,14,6,7,3,11,16,9,12,16,19,7,1,18,12,3,3,649961.5744531655,9106.839886164833,CM,
Baris,Özdemir,23,Turkiye,19,17,8,10,1,10,1,14,11,3,16,8,6,7,13,1,10,3,649961.5744531655,9106.839886164833,LW,
Baris,Öztürk,18,Turkiye,1,13,10,10,1,0,1,0,3,17,3,18,16,16,17,16,1,3,649961.5744531655,9106.839886164833,RW,
Baris,Kaya,22,Turkiye,10,0,4,19,14,8,18,5,2,16,2,3,17,11,1,11,11,3,649961.5744531655,9106.839886164833,ST,
Baris,Kılıç,19,Turkiye,11,0,19,12,12,17,7,13,9,6,9,10,14,1,8,8,7,3,649961.5744531655,9106.839886164833,ST,
Ceren,Eren,25,Turkiye,4,14,14,17,4,649961.5744531655,9106.839886164833,GK,
Ceren,Korkmaz,19,Turkiye,18,3,14,5,6,3,19,3,9,12,0,1,2,1,10,17,6,4,649961.5744531655,9106.839886164833,CB,
Ceren,Özdemir,19,Turkiye,19,10,13,17,11,19,10,17,1,3,11,12,4,1,12,19,17,4,649961.5744531655,9106.839886164833,CB,
Ceren,Kılıç,21,Turkiye,16,9,13,1,17,17,0,11,7,3,10,8,11,9,13,18,8,4,649961.5744531655,9106.839886164833,RB,
